horizon,model,accuracy,precision,recall,f1,auc
t0,LightGBM,0.9261772568373432,0.9579150579150579,0.9084584401318199,0.9325314790452922,0.9784332893888048
t0,CatBoost,0.9298786757145795,0.965705378020265,0.9073599414134017,0.9356239380781575,0.9789615855204267
t0,XGBoost,0.9257659880732059,0.9554189085318986,0.9102892713291835,0.9323082692668292,0.9790672103971976
t0,ExtraTrees,0.9278223318938926,0.9637568199532346,0.9055291102160381,0.9337360770247309,0.9782130228774896
t0,FTTransformer,0.9200082253752827,0.9721774193548387,0.8828268033687294,0.9253502206870082,0.9757371070668709
t0,TabPFN,0.9304955788607855,0.9642995731470703,0.9099231050897107,0.9363225320271289,0.9807123822583184
t1,LightGBM,0.9259716224552745,0.9564882556796304,0.909556938850238,0.9324324324324325,0.9789334188866211
t1,CatBoost,0.9294674069504422,0.9642301710730948,0.9080922738923471,0.935319630397888,0.9794380138263823
t1,XGBoost,0.9251490849269998,0.9596116504854368,0.9047967777370927,0.9313984168865436,0.9787462138204741
t1,ExtraTrees,0.9259716224552745,0.9636292530308955,0.9022336140607836,0.9319213313161876,0.9781821082794104
t1,FTTransformer,0.9200082253752827,0.9657915672235481,0.8890516294397657,0.9258341277407054,0.9741767786027015
t1,TabPFN,0.9309068476249229,0.9600461006530926,0.9150494324423288,0.937007874015748,0.9807101495373459
t2,LightGBM,0.9611351017890192,0.9821699544764795,0.9480043939948737,0.9647847959754052,0.9931829876279779
t2,CatBoost,0.9623689080814312,0.9829416224412434,0.9494690589527646,0.9659154404917116,0.9938287592323012
t2,XGBoost,0.9623689080814312,0.9836750189825361,0.9487367264738191,0.9658900279589935,0.99396212137346
t2,ExtraTrees,0.963808348755912,0.9840848806366048,0.9509337239106554,0.9672253258845438,0.9941858228401174
t2,FTTransformer,0.949619576393173,0.9859265050820953,0.9234712559502014,0.9536774437511817,0.9879596227869443
t2,TabPFN,0.9650421550483241,0.9797677032596478,0.9575247162211644,0.9685185185185186,0.9952449913198679
