feature,mean_abs_shap,mean_shap
TuitionUpToDate,1.7080924709610572,0.3273969150633178
vle_active_days,0.8672736984610988,-0.05753030371700881
s1_approved,0.7527303041538471,-0.11967114633499804
vle_sites_used,0.573766920281102,-0.05237776594163415
s1_enrolled,0.5546972714951867,0.09389180603425798
ApplicationMode,0.5093519673847023,0.46550213011584923
financial_risk,0.49322994435444684,0.10114030964021882
s1_mean_score,0.42524721815972405,0.05231428406176059
s1_grade,0.4097856252833541,-0.034681399411197786
gdp_x_tuition,0.3036342408431063,-0.0278424202503543
vle_sessions,0.2190058716005806,0.002708005487541852
vle_total_clicks,0.19855324098948085,-0.05274511507783111
PrevQual,0.17985140102994596,-0.02204775292801269
age_x_financial_risk,0.1297923546939766,0.025063994786921777
s1_late_days,0.12814676821557325,0.0018150747833792936
s1_approval_rate,0.11059685586799986,-0.023852734092859592
s1_eval,0.11027456171957355,0.013224191345437501
Nationality,0.056702904630843216,0.0012259830665358614
s1_n_assess,0.0525430934119177,0.010905712066865567
admission_vs_prevgrade,0.04601372955424762,0.0006839369226884708
AdmissionGrade,0.03640221272476676,-0.0001697632234002618
vulnerability_idx,0.03400069696345049,0.008891232057261687
ApplicationOrder,0.029765474767538547,0.0008980858572266554
age_x_scholarship,0.017581007754779707,0.002923261263110293
Scholarship,0.01707441003882194,0.006863076930171793
academic_distress,0.014655738138194136,-0.0026324990677319983
GDP,0.01347529617677554,-0.01281454400073183
PreviousGrade,0.013191398351666328,-0.0016646703731777888
Gender,0.009190126787569133,0.0028049807044029204
s1_pass_efficiency,0.009164719186950759,-0.0011644276303291658
unemp_x_age,0.008333810126440083,-0.007084331661777389
low_grade_flag_s1,0.007528709602845273,-0.000669271995837611
SpecialNeeds,0.006084713599202017,-0.0002655889674253182
Age,0.005982625347304663,-0.0001321965063548665
s1_credit_rate,0.005416169532939518,-0.002157670827689511
UnempRate,0.004766986796481456,-0.004163752463434843
s1_credited,0.003275387531588058,-0.002081907948012704
total_failures,0.0031730371010931647,-0.002175842508945749
s1_n_bank,0.001548711852321472,-0.0008300384130165344
s1_failed,0.0011392105946464609,-0.00030164016475350656
s1_wo_eval,0.0,0.0
MotherQual,0.0,0.0
FatherOcc,0.0,0.0
MotherOcc,0.0,0.0
FatherQual,0.0,0.0
Inflation,0.0,0.0
Displaced,0.0,0.0
Debtor,0.0,0.0
MaritalStatus,0.0,0.0
Attendance,0.0,0.0
parent_occ_avg,0.0,0.0
parent_qual_avg,0.0,0.0
gdp_x_debtor,0.0,0.0
inflation_x_debtor,0.0,0.0
s1_eval_gap,0.0,0.0
s1_eval_rate,0.0,0.0
zero_grade_s1,0.0,0.0
eval_participation_gap,0.0,0.0
