horizon,test_index,true_label,pred_prob,risk_label,cf_feature,cf_old,cf_new,cf_pred_after
t0,826,1,0.9999884313038045,High,vle_total_clicks,258.0,128.99899291992188,0.9998127834172179
t0,3605,1,0.9999884313038045,High,vle_total_clicks,1066.0,1599.0009765625,0.9998824143787919
t0,3825,1,0.9999883188911426,High,vle_total_clicks,949.0,1423.5009765625,0.9999081844829082
t0,4759,1,0.9999882841078906,High,vle_total_clicks,816.0,1224.0009765625,0.999895379104041
t0,3522,1,0.9999882740780577,High,vle_total_clicks,640.0,960.0009765625,0.9999099428978362
t0,895,1,0.9999882740780577,High,vle_total_clicks,503.0,754.5009765625,0.9998037450191427
t0,4034,1,0.9999882117248644,High,vle_total_clicks,1000.0,1500.0009765625,0.9998976310482781
t0,4834,1,0.9999881503499368,High,vle_total_clicks,572.0,858.0009765625,0.9999609328524853
t0,63,1,0.9999881503499368,High,vle_total_clicks,219.0,109.4990005493164,0.9998125867605994
t0,4621,1,0.9999881150648194,High,vle_total_clicks,367.0,550.5009765625,0.9999635303830449
t0,3960,1,0.9999881061758381,High,PreviousGrade,105.0,52.499000549316406,0.9999469177937732
t0,2583,1,0.9999880809332568,High,PreviousGrade,100.0,49.999000549316406,0.999959025826433
t0,4282,1,0.9999880809332568,High,vle_total_clicks,375.0,562.5009765625,0.9999519904635245
t0,4576,1,0.9999880352072876,High,PreviousGrade,135.0,67.4990005493164,0.9999514488665482
t0,3343,1,0.9999880352072876,High,vle_total_clicks,376.0,564.0009765625,0.9999590657653968
t0,3894,1,0.9999880352072876,High,PreviousGrade,175.0,87.4990005493164,0.9999514806888673
t0,4499,1,0.9999879995793101,High,vle_total_clicks,191.0,95.4990005493164,0.9999335386600001
t0,1361,1,0.9999879995793101,High,vle_total_clicks,215.0,107.4990005493164,0.9997471444840303
t0,2819,1,0.9999879995793101,High,vle_total_clicks,381.0,571.5009765625,0.9999596017248048
t0,4060,1,0.9999879995793101,High,vle_total_clicks,320.0,480.0010070800781,0.999964158617706
t0,4474,1,0.999987971583902,High,vle_total_clicks,718.0,1077.0009765625,0.9998827203572648
t0,623,1,0.9999879607533602,High,vle_total_clicks,530.0,795.0009765625,0.9998022574147539
t0,3812,1,0.9999879254384331,High,vle_total_clicks,276.0,414.0010070800781,0.9999583149838701
t0,4734,1,0.999987916909224,High,age_x_scholarship,45.0,22.499000549316406,0.9999122874802374
t0,2664,1,0.9999878622345452,High,vle_total_clicks,739.0,1108.5009765625,0.9998688081498478
t1,895,1,0.999988350905211,High,vle_sites_used,20.0,30.000999450683594,0.999769678951851
t1,826,1,0.999988350905211,High,vle_sites_used,20.0,30.000999450683594,0.9997563000062423
t1,2668,1,0.999988350905211,High,gdp_x_tuition,0.0,0.0010000000474974513,0.999984349192955
t1,3522,1,0.9999882889775871,High,s1_grade,15.199999809265137,7.598999977111816,0.9999548334261029
