test_index,archetype_id,archetype_label,dropout_probability,true_label
0,3,Low-Risk: Demographics,0.006183533874009506,0
1,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
2,3,Low-Risk: Demographics,0.005088892453690513,0
3,3,Low-Risk: Demographics,0.3213989327557967,0
4,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
5,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
6,3,Low-Risk: Demographics,0.010204363662100084,0
7,3,Low-Risk: Demographics,0.005088892453690513,0
8,3,Low-Risk: Demographics,0.005042879049975381,0
9,3,Low-Risk: Demographics,0.005088892453690513,0
10,3,Low-Risk: Demographics,0.005088892453690513,0
11,1,High-Risk: 2nd-Semester + Financial/Macro,0.9965422886656413,1
12,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
13,3,Low-Risk: Demographics,0.00714472393645816,0
14,3,Low-Risk: Demographics,0.005841531221149674,0
15,3,Low-Risk: Demographics,0.005088892453690513,0
16,3,Low-Risk: Demographics,0.302605368395136,1
17,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
18,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
19,3,Low-Risk: Demographics,0.005088892453690513,0
20,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
21,3,Low-Risk: Demographics,0.006392475629653589,0
22,3,Low-Risk: Demographics,0.23162753670794445,0
23,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
24,3,Low-Risk: Demographics,0.005220870864996525,0
25,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
26,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
27,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
28,3,Low-Risk: Demographics,0.005042879049975381,0
29,1,High-Risk: 2nd-Semester + Financial/Macro,0.9958365127359475,1
30,2,High-Risk: 2nd-Semester + 1st-Semester,0.8098449054288137,1
31,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
32,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
33,3,Low-Risk: Demographics,0.005986524420333996,0
34,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
35,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
36,3,Low-Risk: Demographics,0.03264015551895098,0
37,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
38,3,Low-Risk: Demographics,0.0067649751513519756,0
39,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
40,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
41,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
42,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
43,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971445768503271,1
44,3,Low-Risk: Demographics,0.005042879049975381,0
45,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
46,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
47,3,Low-Risk: Demographics,0.07113963752622479,1
48,3,Low-Risk: Demographics,0.9953915431059909,1
49,3,Low-Risk: Demographics,0.014616322914108243,0
50,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
51,1,High-Risk: 2nd-Semester + Financial/Macro,0.925978921612624,1
52,3,Low-Risk: Demographics,0.0057456550176427975,0
53,3,Low-Risk: Demographics,0.005088892453690513,0
54,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
55,2,High-Risk: 2nd-Semester + 1st-Semester,0.9761881629677281,1
56,3,Low-Risk: Demographics,0.026850163484557144,0
57,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
58,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
59,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
60,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
61,3,Low-Risk: Demographics,0.05025732972263286,0
62,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
63,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
64,3,Low-Risk: Demographics,0.005471009654343618,0
65,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
66,3,Low-Risk: Demographics,0.1479587704241523,0
67,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
68,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
69,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
70,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
71,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
72,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971445768503271,1
73,3,Low-Risk: Demographics,0.005471009654343618,0
74,2,High-Risk: 2nd-Semester + 1st-Semester,0.9327715991400926,1
75,3,Low-Risk: Demographics,0.006035363177142487,0
76,3,Low-Risk: Demographics,0.06779038835397533,0
77,3,Low-Risk: Demographics,0.8741795052424848,1
78,3,Low-Risk: Demographics,0.6922809353611966,1
79,3,Low-Risk: Demographics,0.005471009654343618,0
80,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
81,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
82,3,Low-Risk: Demographics,0.010512206433716755,0
83,3,Low-Risk: Demographics,0.5862211351502338,1
84,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
85,3,Low-Risk: Demographics,0.10597157969944193,0
86,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
87,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
88,3,Low-Risk: Demographics,0.2999896645260245,1
89,3,Low-Risk: Demographics,0.6505337783668759,1
90,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
91,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
92,3,Low-Risk: Demographics,0.005304819451369526,0
93,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
94,1,High-Risk: 2nd-Semester + Financial/Macro,0.9677296993712081,1
95,2,High-Risk: 2nd-Semester + 1st-Semester,0.13454906249036946,0
96,3,Low-Risk: Demographics,0.03939812802765579,0
97,3,Low-Risk: Demographics,0.20910629188331406,0
98,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
99,3,Low-Risk: Demographics,0.36156930862385894,0
100,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
101,3,Low-Risk: Demographics,0.5202335577887565,1
102,3,Low-Risk: Demographics,0.08916045625688043,0
103,3,Low-Risk: Demographics,0.006492989169233546,0
104,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
105,3,Low-Risk: Demographics,0.005901480035669132,0
106,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
107,3,Low-Risk: Demographics,0.14024221644682133,1
108,1,High-Risk: 2nd-Semester + Financial/Macro,0.9275833851490598,1
109,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
110,3,Low-Risk: Demographics,0.006449497069701738,0
111,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
112,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971490346240673,1
113,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
114,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
115,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
116,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
117,2,High-Risk: 2nd-Semester + 1st-Semester,0.48500692304983073,1
118,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
119,2,High-Risk: 2nd-Semester + 1st-Semester,0.539906967685327,1
120,3,Low-Risk: Demographics,0.022553511648712145,0
121,3,Low-Risk: Demographics,0.005088892453690513,0
122,2,High-Risk: 2nd-Semester + 1st-Semester,0.48500692304983073,1
123,3,Low-Risk: Demographics,0.005792540185205954,0
124,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971987629133389,1
125,1,High-Risk: 2nd-Semester + Financial/Macro,0.9971445768503271,1
