horizon,feature,family,mean_abs_shap,mean_shap,direction,actionability,actionability_score
t0,TuitionUpToDate,Financial/Macro,2.1662419135552677,0.2383932597302087,Risk,Institutional Lever,3
t0,s1_n_assess,1st-Semester,1.1684722569691242,0.0334265631251598,Risk,Supportable via Programs,2
t0,s1_mean_score,1st-Semester,0.8778712898896278,0.0671843130849444,Risk,Supportable via Programs,2
t0,vle_active_days,Other,0.8501368398202351,-0.0112321947695166,Protective,Fixed/Demographic,0
t0,vle_sites_used,Other,0.5143811391794992,-0.1694475104816299,Protective,Fixed/Demographic,0
t0,ApplicationMode,Course/Family,0.4822741140206065,0.4813655508767894,Risk,Fixed/Demographic,0
t0,financial_risk,Financial/Macro,0.4063451465550191,0.0272812054512091,Risk,Institutional Lever,3
t0,vle_sessions,Other,0.2440951101572437,0.0090897510326344,Risk,Fixed/Demographic,0
t0,gdp_x_tuition,Financial/Macro,0.1975128175467708,-0.0531761243782327,Protective,External/Macro,1
t0,PrevQual,Course/Family,0.1617982950240503,-0.0223642127609291,Protective,Fixed/Demographic,0
t0,vle_total_clicks,Other,0.1571591486852149,0.024435835941039,Risk,Fixed/Demographic,0
t0,s1_late_days,1st-Semester,0.1301215381512842,0.0108983378083891,Risk,Supportable via Programs,2
t0,age_x_financial_risk,Financial/Macro,0.0711114564823124,0.0096642073283632,Risk,Institutional Lever,3
t0,Nationality,Demographics,0.0650211140641127,0.0021777268760355,Risk,Fixed/Demographic,0
t0,admission_vs_prevgrade,Academic Preparation,0.0474252793328941,0.0016700830977376,Risk,Supportable via Programs,2
t0,vulnerability_idx,Financial/Macro,0.036717164419733,0.016163107158117,Risk,Institutional Lever,3
t0,AdmissionGrade,Academic Preparation,0.034385757942185,0.0027386925643084,Risk,Fixed/Demographic,0
t0,Scholarship,Financial/Macro,0.0235763519237078,0.0094255960396553,Risk,Institutional Lever,3
t0,age_x_scholarship,Financial/Macro,0.0233685908670901,0.0006119187606267,Risk,Institutional Lever,3
t0,ApplicationOrder,Course/Family,0.0230016322582033,-4.0050364052972506e-05,Protective,Fixed/Demographic,0
t0,GDP,Financial/Macro,0.0199418375808331,-0.0195073967514052,Protective,External/Macro,1
t0,unemp_x_age,Financial/Macro,0.0126164437046615,-0.0094979046956737,Protective,External/Macro,1
t0,Gender,Demographics,0.0118761902991208,0.0070057989603603,Risk,Fixed/Demographic,0
t0,PreviousGrade,Academic Preparation,0.0091658641433022,-0.0006928198381301,Protective,Fixed/Demographic,0
t0,SpecialNeeds,Demographics,0.0071259469735634,-0.000146684480885,Protective,Fixed/Demographic,0
t0,Age,Demographics,0.0070818723201738,0.0001377067078948,Risk,Fixed/Demographic,0
t0,s1_n_bank,1st-Semester,0.0049028416133679,-0.0023240084925898,Protective,Supportable via Programs,2
t0,UnempRate,Financial/Macro,0.0048062320626185,-0.0044250968659588,Protective,External/Macro,1
t0,Inflation,Financial/Macro,0.0008303759186824,-0.0008303759186824,Protective,External/Macro,1
t0,Displaced,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t0,FatherOcc,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t0,Debtor,Financial/Macro,0.0,0.0,Protective,Institutional Lever,3
t0,MotherQual,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t0,FatherQual,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t0,MotherOcc,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t0,Attendance,Other,0.0,0.0,Protective,Fixed/Demographic,0
t0,MaritalStatus,Demographics,0.0,0.0,Protective,Fixed/Demographic,0
t0,total_failures,Risk Composite,0.0,0.0,Protective,Supportable via Programs,2
t0,academic_distress,Risk Composite,0.0,0.0,Protective,Supportable via Programs,2
t0,gdp_x_debtor,Financial/Macro,0.0,0.0,Protective,Institutional Lever,3
t0,inflation_x_debtor,Financial/Macro,0.0,0.0,Protective,Institutional Lever,3
t0,parent_qual_avg,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t0,parent_occ_avg,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t1,TuitionUpToDate,Financial/Macro,1.7080924709610572,0.3273969150633178,Risk,Institutional Lever,3
t1,vle_active_days,Other,0.8672736984610988,-0.0575303037170088,Protective,Fixed/Demographic,0
t1,s1_approved,1st-Semester,0.7527303041538471,-0.119671146334998,Protective,Supportable via Programs,2
t1,vle_sites_used,Other,0.573766920281102,-0.0523777659416341,Protective,Fixed/Demographic,0
t1,s1_enrolled,1st-Semester,0.5546972714951867,0.0938918060342579,Risk,Supportable via Programs,2
t1,ApplicationMode,Course/Family,0.5093519673847023,0.4655021301158492,Risk,Fixed/Demographic,0
t1,financial_risk,Financial/Macro,0.4932299443544468,0.1011403096402188,Risk,Institutional Lever,3
t1,s1_mean_score,1st-Semester,0.425247218159724,0.0523142840617605,Risk,Supportable via Programs,2
t1,s1_grade,1st-Semester,0.4097856252833541,-0.0346813994111977,Protective,Supportable via Programs,2
t1,gdp_x_tuition,Financial/Macro,0.3036342408431063,-0.0278424202503543,Protective,External/Macro,1
t1,vle_sessions,Other,0.2190058716005806,0.0027080054875418,Risk,Fixed/Demographic,0
t1,vle_total_clicks,Other,0.1985532409894808,-0.0527451150778311,Protective,Fixed/Demographic,0
t1,PrevQual,Course/Family,0.1798514010299459,-0.0220477529280126,Protective,Fixed/Demographic,0
t1,age_x_financial_risk,Financial/Macro,0.1297923546939766,0.0250639947869217,Risk,Institutional Lever,3
t1,s1_late_days,1st-Semester,0.1281467682155732,0.0018150747833792,Risk,Supportable via Programs,2
t1,s1_approval_rate,1st-Semester,0.1105968558679998,-0.0238527340928595,Protective,Supportable via Programs,2
t1,s1_eval,1st-Semester,0.1102745617195735,0.0132241913454375,Risk,Supportable via Programs,2
t1,Nationality,Demographics,0.0567029046308432,0.0012259830665358,Risk,Fixed/Demographic,0
t1,s1_n_assess,1st-Semester,0.0525430934119177,0.0109057120668655,Risk,Supportable via Programs,2
t1,admission_vs_prevgrade,Academic Preparation,0.0460137295542476,0.0006839369226884,Risk,Supportable via Programs,2
t1,AdmissionGrade,Academic Preparation,0.0364022127247667,-0.0001697632234002,Protective,Fixed/Demographic,0
t1,vulnerability_idx,Financial/Macro,0.0340006969634504,0.0088912320572616,Risk,Institutional Lever,3
t1,ApplicationOrder,Course/Family,0.0297654747675385,0.0008980858572266,Risk,Fixed/Demographic,0
t1,age_x_scholarship,Financial/Macro,0.0175810077547797,0.0029232612631102,Risk,Institutional Lever,3
t1,Scholarship,Financial/Macro,0.0170744100388219,0.0068630769301717,Risk,Institutional Lever,3
t1,academic_distress,Risk Composite,0.0146557381381941,-0.0026324990677319,Protective,Supportable via Programs,2
t1,GDP,Financial/Macro,0.0134752961767755,-0.0128145440007318,Protective,External/Macro,1
t1,PreviousGrade,Academic Preparation,0.0131913983516663,-0.0016646703731777,Protective,Fixed/Demographic,0
t1,Gender,Demographics,0.0091901267875691,0.0028049807044029,Risk,Fixed/Demographic,0
t1,s1_pass_efficiency,1st-Semester,0.0091647191869507,-0.0011644276303291,Protective,Supportable via Programs,2
t1,unemp_x_age,Financial/Macro,0.00833381012644,-0.0070843316617773,Protective,External/Macro,1
t1,low_grade_flag_s1,Other,0.0075287096028452,-0.0006692719958376,Protective,Fixed/Demographic,0
t1,SpecialNeeds,Demographics,0.006084713599202,-0.0002655889674253,Protective,Fixed/Demographic,0
t1,Age,Demographics,0.0059826253473046,-0.0001321965063548,Protective,Fixed/Demographic,0
t1,s1_credit_rate,1st-Semester,0.0054161695329395,-0.0021576708276895,Protective,Supportable via Programs,2
t1,UnempRate,Financial/Macro,0.0047669867964814,-0.0041637524634348,Protective,External/Macro,1
t1,s1_credited,1st-Semester,0.003275387531588,-0.0020819079480127,Protective,Supportable via Programs,2
t1,total_failures,Risk Composite,0.0031730371010931,-0.0021758425089457,Protective,Supportable via Programs,2
t1,s1_n_bank,1st-Semester,0.0015487118523214,-0.0008300384130165,Protective,Supportable via Programs,2
t1,s1_failed,1st-Semester,0.0011392105946464,-0.0003016401647535,Protective,Supportable via Programs,2
t1,s1_wo_eval,1st-Semester,0.0,0.0,Protective,Supportable via Programs,2
t1,MotherQual,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t1,FatherOcc,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t1,MotherOcc,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t1,FatherQual,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t1,Inflation,Financial/Macro,0.0,0.0,Protective,External/Macro,1
t1,Displaced,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t1,Debtor,Financial/Macro,0.0,0.0,Protective,Institutional Lever,3
t1,MaritalStatus,Demographics,0.0,0.0,Protective,Fixed/Demographic,0
t1,Attendance,Other,0.0,0.0,Protective,Fixed/Demographic,0
t1,parent_occ_avg,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t1,parent_qual_avg,Course/Family,0.0,0.0,Protective,Fixed/Demographic,0
t1,gdp_x_debtor,Financial/Macro,0.0,0.0,Protective,Institutional Lever,3
t1,inflation_x_debtor,Financial/Macro,0.0,0.0,Protective,Institutional Lever,3
t1,s1_eval_gap,1st-Semester,0.0,0.0,Protective,Supportable via Programs,2
t1,s1_eval_rate,1st-Semester,0.0,0.0,Protective,Supportable via Programs,2
t1,zero_grade_s1,Other,0.0,0.0,Protective,Fixed/Demographic,0
t1,eval_participation_gap,Other,0.0,0.0,Protective,Supportable via Programs,2
t2,TuitionUpToDate,Financial/Macro,1.532827936011663,0.3911702949298853,Risk,Institutional Lever,3
t2,avg_grade,2nd-Semester,1.1719814486322109,-0.0329950458950276,Protective,Fixed/Demographic,0
t2,s2_grade,2nd-Semester,0.4821775524473246,-0.0411096219699816,Protective,Supportable via Programs,2
t2,s2_approved,2nd-Semester,0.4736447106428952,-0.1912399742375263,Protective,Supportable via Programs,2
t2,ApplicationMode,Course/Family,0.4449210993416433,0.1221384853027068,Risk,Fixed/Demographic,0
t2,s2_enrolled,2nd-Semester,0.4423598305641258,0.0688651732139305,Risk,Supportable via Programs,2
t2,financial_risk,Financial/Macro,0.4270129699306247,0.1387938505944732,Risk,Institutional Lever,3
t2,vle_active_days,Other,0.3771008041073172,-0.1055797028577209,Protective,Fixed/Demographic,0
t2,cum_approved,2nd-Semester,0.3166948120825626,0.095251780838986,Risk,Fixed/Demographic,0
t2,s2_mean_score,2nd-Semester,0.1689761629406804,-0.0136271889210164,Protective,Supportable via Programs,2
t2,age_x_financial_risk,Financial/Macro,0.1476263245598676,0.0335952671677114,Risk,Institutional Lever,3
t2,s1_mean_score,1st-Semester,0.1434080825939228,0.0316209239175402,Risk,Supportable via Programs,2
t2,s2_eval,2nd-Semester,0.1301690551431764,0.0119708762869549,Risk,Supportable via Programs,2
t2,s1_grade,1st-Semester,0.1206548279862836,0.0132046006646621,Risk,Supportable via Programs,2
t2,gdp_x_tuition,Financial/Macro,0.1181372714931069,0.0055248461860659,Risk,External/Macro,1
t2,s2_approval_rate,2nd-Semester,0.1080901680508827,-0.051050537002497,Protective,Supportable via Programs,2
t2,s1_to_s2_approved_delta,2nd-Semester,0.0858026752510615,-0.0136733910999433,Protective,Supportable via Programs,2
t2,PrevQual,Course/Family,0.0757505217592481,-0.0096130893469251,Protective,Fixed/Demographic,0
t2,vle_sites_used,Other,0.0703593325992624,0.0180179806013929,Risk,Fixed/Demographic,0
t2,grade_per_approved,2nd-Semester,0.0664135930878861,-0.0045574293233251,Protective,Supportable via Programs,2
t2,vle_total_clicks,Other,0.0609116004014438,0.0064579276890418,Risk,Fixed/Demographic,0
t2,s1_late_days,1st-Semester,0.0519533259915446,0.0214607268925714,Risk,Supportable via Programs,2
t2,vle_sessions,Other,0.0514996121215269,0.0261871120857214,Risk,Fixed/Demographic,0
t2,s2_late_days,2nd-Semester,0.0467454956818198,0.0014797750663132,Risk,Supportable via Programs,2
t2,s2_pass_efficiency,2nd-Semester,0.0392434092282532,-0.0159351585737483,Protective,Supportable via Programs,2
t2,admission_vs_prevgrade,Academic Preparation,0.0373576145872687,0.0023234807698209,Risk,Supportable via Programs,2
t2,s1_to_s2_grade_delta,2nd-Semester,0.035558189234104,0.0050147689159791,Risk,Supportable via Programs,2
t2,s2_n_assess,2nd-Semester,0.0335669621950791,0.0081114227057542,Risk,Supportable via Programs,2
t2,momentum_score,2nd-Semester,0.0326667084253489,-0.0072134472506889,Protective,Supportable via Programs,2
t2,Nationality,Demographics,0.0270514529262176,-0.0007169973886346,Protective,Fixed/Demographic,0
t2,s1_approved,1st-Semester,0.0220243461255684,0.000869544188938,Risk,Supportable via Programs,2
t2,cum_efficiency,2nd-Semester,0.0192622829969004,-0.0153544207928962,Protective,Supportable via Programs,2
t2,s1_enrolled,1st-Semester,0.0180095692475245,0.0083777359066628,Risk,Supportable via Programs,2
t2,GDP,Financial/Macro,0.0170651545405672,-0.0170419788143087,Protective,External/Macro,1
t2,AdmissionGrade,Academic Preparation,0.0146997187945063,-0.000446336662846,Protective,Fixed/Demographic,0
t2,zero_grade_s2,2nd-Semester,0.0107782964932249,-0.0029463308373499,Protective,Fixed/Demographic,0
t2,academic_distress,Risk Composite,0.0084936741416709,0.0022496296580709,Risk,Supportable via Programs,2
t2,UnempRate,Financial/Macro,0.0083543509067598,-0.0083342053810136,Protective,External/Macro,1
t2,Gender,Demographics,0.0074913791228681,0.0026746566572642,Risk,Fixed/Demographic,0
t2,PreviousGrade,Academic Preparation,0.007283490581932,0.0017329517739469,Risk,Fixed/Demographic,0
