MaritalStatus,ApplicationMode,ApplicationOrder,Course,Attendance,PrevQual,PreviousGrade,Nationality,MotherQual,FatherQual,MotherOcc,FatherOcc,AdmissionGrade,Displaced,SpecialNeeds,Debtor,TuitionUpToDate,Gender,Scholarship,Age,International,UnempRate,Inflation,GDP,financial_risk,vulnerability_idx,academic_distress,total_failures,age_x_scholarship,age_x_financial_risk,gdp_x_debtor,unemp_x_age,gdp_x_tuition,inflation_x_debtor,admission_vs_prevgrade,parent_qual_avg,parent_occ_avg,Target
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,10.8,1.4,1.74,0,1,0,0,0,0,0.0,216.0,1.74,0.0,5.299999999999997,15.5,7.0,1
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,13.9,-0.3,0.79,1,2,0,0,0,19,0.0,264.1,0.0,-0.0,-17.5,2.0,3.0,0
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,10.8,1.4,1.74,1,2,0,0,0,19,0.0,205.20000000000002,0.0,0.0,2.799999999999997,37.0,9.0,1
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,0,1,0,0,0,0,-0.0,188.0,-3.12,-0.0,-2.4000000000000057,37.5,4.0,0
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,13.9,-0.3,0.79,0,0,0,0,0,0,0.0,625.5,0.79,-0.0,41.5,37.5,9.0,0
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,16.2,0.3,-0.92,1,1,0,0,0,50,-0.92,810.0,-0.92,0.3,-18.299999999999997,37.0,8.0,0
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,0,2,0,0,18,0,-0.0,279.0,-4.06,0.0,-13.599999999999994,28.5,8.5,0
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,15.5,2.8,-4.06,1,2,0,0,0,22,-0.0,341.0,-0.0,0.0,-5.900000000000006,37.0,9.0,1
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,16.2,0.3,-0.92,0,1,0,0,21,0,-0.0,340.2,-0.92,0.0,-7.699999999999989,1.0,9.0,0
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,8.9,1.4,3.51,2,3,0,0,0,36,3.51,160.20000000000002,0.0,1.4,-15.0,10.0,5.5,1
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,0,1,0,0,0,0,0.0,250.20000000000002,0.79,-0.0,-8.400000000000006,28.5,6.0,0
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,0,2,0,0,18,0,-0.0,228.6,-1.7,0.0,-16.700000000000003,28.5,9.0,0
