MaritalStatus,ApplicationMode,ApplicationOrder,Course,Attendance,PrevQual,PreviousGrade,Nationality,MotherQual,FatherQual,MotherOcc,FatherOcc,AdmissionGrade,Displaced,SpecialNeeds,Debtor,TuitionUpToDate,Gender,Scholarship,Age,International,s1_credited,s1_enrolled,s1_eval,s1_approved,s1_grade,s1_wo_eval,s2_credited,s2_enrolled,s2_eval,s2_approved,s2_grade,s2_wo_eval,UnempRate,Inflation,GDP,financial_risk,vulnerability_idx,academic_distress,total_failures,age_x_scholarship,age_x_financial_risk,gdp_x_debtor,unemp_x_age,gdp_x_tuition,inflation_x_debtor,admission_vs_prevgrade,parent_qual_avg,parent_occ_avg,s1_approval_rate,s1_eval_rate,s1_credit_rate,s1_pass_efficiency,s1_eval_gap,s1_failed,low_grade_flag_s1,zero_grade_s1,s2_approval_rate,s2_eval_rate,s2_credit_rate,s2_pass_efficiency,s2_eval_gap,s2_failed,s1_to_s2_grade_delta,s1_to_s2_approved_delta,avg_grade,cum_approved,cum_failed,low_grade_flag_s2,zero_grade_s2,momentum_score,cum_efficiency,grade_per_approved,eval_participation_gap,Target
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0,1,2,0,0,0,0.0,216.0,1.74,0.0,5.299999999999997,15.5,7.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0.0,0.0,0.0,0,1
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,1,2,0,0,0,19,0.0,264.1,0.0,-0.0,-17.5,2.0,3.0,1.0,1.0,0.0,1.0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,-0.3333333333333339,0,13.833333333333332,12,0,0,0,-0.3333333333333339,1.0,1.1527777777777777,0,0
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,1,2,14,12,0,19,0.0,205.20000000000002,0.0,0.0,2.799999999999997,37.0,9.0,0.0,0.0,0.0,0.0,6,6,0,1,0.0,0.0,0.0,0.0,6,6,0.0,0,0.0,0,12,0,1,0.0,0.0,0.0,12,1
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,0,1,1,1,0,0,-0.0,188.0,-3.12,-0.0,-2.4000000000000057,37.5,4.0,1.0,1.3333333333333333,0.0,0.75,-2,0,0,0,0.8333333333333334,1.6666666666666667,0.0,0.5,-4,1,-1.0285714285714285,-1,12.914285714285715,11,1,0,0,-0.02857142857142847,0.9166666666666666,1.174025974025974,-6,0
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,0,0,1,1,0,0,0.0,625.5,0.79,-0.0,41.5,37.5,9.0,0.8333333333333334,1.5,0.0,0.5555555555555556,-3,1,0,0,1.0,1.0,0.0,1.0,0,0,0.6666666666666661,1,12.666666666666668,11,1,0,0,-0.3333333333333339,0.9166666666666666,1.1515151515151516,-3,0
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,1,1,0,0,0,50,-0.92,810.0,-0.92,0.3,-18.299999999999997,37.0,8.0,1.0,2.0,0.0,0.5,-5,0,0,0,1.0,3.4,0.0,0.29411764705882354,-12,0,-0.35714285714285765,0,11.678571428571429,10,0,0,0,-0.35714285714285765,1.0,1.167857142857143,-17,0
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,0,2,0,0,18,0,-0.0,279.0,-4.06,0.0,-13.599999999999994,28.5,8.5,1.0,1.2857142857142858,0.0,0.7777777777777778,-2,0,0,0,1.0,1.0,0.0,1.0,0,0,1.045,1,13.822500000000002,15,0,0,0,0.04499999999999993,1.0,0.9215000000000001,-2,0
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,1,2,12,10,0,22,-0.0,341.0,-0.0,0.0,-5.900000000000006,37.0,9.0,0.0,1.0,0.0,0.0,0,5,0,1,0.0,1.0,0.0,0.0,0,5,0.0,0,0.0,0,10,0,1,0.0,0.0,0.0,0,1
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,0,1,0,0,21,0,-0.0,340.2,-0.92,0.0,-7.699999999999989,1.0,9.0,1.0,1.3333333333333333,0.0,0.75,-2,0,0,0,1.0,1.1666666666666667,0.0,0.8571428571428571,-1,0,0.26785714285714235,0,14.008928571428571,12,0,0,0,0.26785714285714235,1.0,1.1674107142857142,-3,0
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,2,3,5,5,0,36,3.51,160.20000000000002,0.0,1.4,-15.0,10.0,5.5,0.8333333333333334,1.5,0.0,0.5555555555555556,-3,1,0,0,0.3333333333333333,2.3333333333333335,0.0,0.14285714285714285,-8,4,2.0999999999999996,-3,12.45,7,5,0,0,5.1,0.5833333333333334,1.7785714285714285,-11,1
