horizon,model,accuracy,precision,recall,f1,auc
t0,LightGBM,0.778236914600551,0.7411764705882353,0.6654929577464789,0.7012987012987013,0.8420193104327321
t0,CatBoost,0.7823691460055097,0.7625,0.6443661971830986,0.6984732824427481,0.8444968453253459
t0,XGBoost,0.7713498622589532,0.7322834645669292,0.6549295774647887,0.6914498141263941,0.840107386399847
t0,ExtraTrees,0.7630853994490359,0.7333333333333333,0.6197183098591549,0.6717557251908397,0.8278471735389714
t0,FTTransformer,0.7506887052341598,0.7440758293838863,0.5528169014084507,0.6343434343434343,0.7987381301382959
t0,TabPFN,0.7892561983471075,0.754863813229572,0.6830985915492958,0.7171903881700554,0.8631699700465234
t1,LightGBM,0.8966942148760331,0.8692579505300353,0.8661971830985915,0.8677248677248677,0.9484975463641578
t1,CatBoost,0.8980716253443526,0.875,0.8626760563380281,0.8687943262411347,0.9481629596584029
t1,XGBoost,0.9049586776859504,0.8853046594982079,0.8697183098591549,0.8774422735346359,0.9486807724173093
t1,ExtraTrees,0.9035812672176309,0.8821428571428571,0.8697183098591549,0.875886524822695,0.9439646931361928
t1,FTTransformer,0.8787878787878788,0.8402777777777778,0.852112676056338,0.8461538461538461,0.9296093301892805
t1,TabPFN,0.90633608815427,0.8884892086330936,0.8697183098591549,0.8790035587188612,0.9542094194124021
t2,LightGBM,0.9449035812672176,0.9420289855072463,0.9154929577464789,0.9285714285714286,0.9710502836020649
t2,CatBoost,0.9338842975206612,0.9184397163120568,0.9119718309859155,0.9151943462897526,0.9718070868650819
t2,XGBoost,0.9352617079889807,0.9187279151943463,0.9154929577464789,0.9171075837742504,0.9716875916130265
t2,ExtraTrees,0.9393939393939394,0.9347826086956522,0.9084507042253521,0.9214285714285714,0.97371104454783
t2,FTTransformer,0.8980716253443526,0.85,0.897887323943662,0.8732876712328768,0.962438659103945
t2,TabPFN,0.9393939393939394,0.9316546762589928,0.9119718309859155,0.9217081850533808,0.9773596329105858
