feature,mean_abs_shap,mean_shap
cum_efficiency,0.9382885651335647,0.1126710260276419
academic_distress,0.7334473341473304,-0.037968666900552527
total_failures,0.6918625396271773,0.005588149415521302
s2_approval_rate,0.39174375664061895,0.04677273599459927
s2_pass_efficiency,0.23312909347415797,-0.03718415638317888
TuitionUpToDate,0.23055729834683744,0.04129668409833184
AdmissionGrade,0.2296028203774954,-0.014191740236119013
cum_failed,0.20700364167961963,-0.01165034138831109
s2_failed,0.2030495396171556,0.013499946934011959
Course,0.20237655746621885,-0.008386960948370716
grade_per_approved,0.1963156025035628,0.019949073910141973
age_x_financial_risk,0.19615685980707667,0.018260133138507096
age_x_scholarship,0.17443052647512866,0.005042921395771536
unemp_x_age,0.16490881838215887,-0.0021124611861671077
financial_risk,0.15511412110423195,0.02155635559503704
s2_grade,0.1420442000439889,0.02667167882082402
s1_approval_rate,0.13577230062841142,0.0029085526562125192
s1_pass_efficiency,0.1318377388622661,0.02253819077413795
Displaced,0.11795404512793409,0.009897190247163021
avg_grade,0.10052354868060577,0.005376664523325383
s1_enrolled,0.0906566966506541,-0.022648069657352023
momentum_score,0.09005071470297936,-0.004690495263077659
PreviousGrade,0.08674098180264851,0.0011783238118308272
s2_approved,0.08497709106193205,0.015106747504158012
admission_vs_prevgrade,0.07488546137023991,-0.008610553731209301
Gender,0.06876697485184524,0.01172746376792268
Scholarship,0.06795367253953248,-0.0015785854563417614
parent_occ_avg,0.066239438368516,0.0021285557947949155
GDP,0.061788184753205994,0.005432138652570898
s1_to_s2_grade_delta,0.06002128556306002,0.001734306616160611
ApplicationMode,0.05793362241315604,0.005003702441409542
UnempRate,0.055148924333913496,-0.001219304808407527
MotherOcc,0.052105678890173854,0.005487973348581247
cum_approved,0.05131952688575848,-0.012325632835773785
s1_grade,0.05048543293388462,0.0035754031771108295
ApplicationOrder,0.04778653136479624,-0.004840642878733596
vulnerability_idx,0.04712198254909523,0.007445119725823618
parent_qual_avg,0.04357978780075718,0.0022030352754529537
FatherOcc,0.043511642717241436,-0.0029735423645606512
s1_approved,0.043446785122396366,-0.00755842998965653
FatherQual,0.03826340234793725,-0.0016964293532754568
Age,0.03706962485209137,-0.006190862429155642
s1_eval_rate,0.03347250042845139,0.0087717494448178
gdp_x_tuition,0.028847366025393482,-0.0035087535111452944
s1_failed,0.027874838941307094,-0.015154356500471533
s2_enrolled,0.024405392945945445,0.005377524124055068
s2_eval_rate,0.024224267205988432,0.0059223953092609055
s1_credit_rate,0.023785582772671118,0.005033947837531546
Inflation,0.02267123038789868,5.05853425104149e-05
s1_eval,0.019402226854367405,0.007403414773603515
s1_to_s2_approved_delta,0.01933569680199415,0.00014223707380056513
PrevQual,0.019057020567619962,-0.0037014943893568346
MotherQual,0.018175796635350048,-0.0034882522398364956
s2_eval,0.017633643692240356,0.0012864571776468154
eval_participation_gap,0.016297358783092672,0.004457913615421595
s2_credit_rate,0.0127814734828345,-0.0009975240646152577
s2_eval_gap,0.011797032251360194,-0.000664757889775796
s1_wo_eval,0.01048061356377025,0.004652701628307398
s1_eval_gap,0.010271115324407819,0.0035049131996593313
gdp_x_debtor,0.009768595958239408,0.0012960486542782034
inflation_x_debtor,0.008885903080597828,0.0009475590390305572
s1_credited,0.008806387510951917,0.00107302278128449
Debtor,0.008214805108781573,0.00201232695260153
s2_wo_eval,0.006930006742079675,0.0021221749263309565
MaritalStatus,0.005066043090739318,-0.000128641822178629
s2_credited,0.0050416636370848355,0.0005766613639954908
Nationality,0.003284186653340461,0.0008361429014503578
International,0.0015045568835949784,0.0001412711846183272
zero_grade_s1,0.0005647698892368475,5.793931314112602e-06
Attendance,0.0005292836850116083,-0.0001781056664514206
zero_grade_s2,0.00030579706228503435,-1.893894266230708e-05
SpecialNeeds,0.0,0.0
low_grade_flag_s1,0.0,0.0
low_grade_flag_s2,0.0,0.0
