MaritalStatus,ApplicationMode,ApplicationOrder,Course,Attendance,PrevQual,PreviousGrade,Nationality,MotherQual,FatherQual,MotherOcc,FatherOcc,AdmissionGrade,Displaced,SpecialNeeds,Debtor,TuitionUpToDate,Gender,Scholarship,Age,International,s1_credited,s1_enrolled,s1_eval,s1_approved,s1_grade,s1_wo_eval,s2_credited,s2_enrolled,s2_eval,s2_approved,s2_grade,s2_wo_eval,UnempRate,Inflation,GDP,Target,Graduation,GPA,Risk_t2
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,1,0,0.0,
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,0,1,2.7666666666666666,
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,1,0,0.0,
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,0,1,2.592207792207792,Low
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,0,1,2.53939393939394,
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,0,1,2.335714285714286,
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,0,1,2.771466666666667,Low
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,1,0,0.0,
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,0,1,2.8017857142857143,
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,1,0,2.4,
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,0,1,2.6363636363636362,
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,0,1,2.642857142857143,
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,1,0,0.0,
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,0,1,2.153246753246753,Low
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,0,1,2.511111111111111,
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,1,0,2.6399999999999997,
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,0,1,2.7933833333333333,
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,0,1,2.475,
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,0,1,0.0,
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,0,1,2.5714285714285716,
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,0,1,2.566071428571429,
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,0,1,2.7473846153846155,
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,0,1,2.466071428571429,Low
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,0,1,2.4333333333333336,Low
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,0,1,2.6119999999999997,
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,0,1,2.7041666666666666,Low
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,0,1,2.5828571428571427,
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,1,0,2.0,
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,1,0,0.0,
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,1,0,2.2666666666666666,
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,0,1,2.2600000000000002,Low
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,1,0,2.3666666666666667,High
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,1,0,2.55,
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,0,1,3.06,
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,0,1,2.834,
1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,1,0,2.688888888888889,High
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,1,0,0.0,
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,0,1,2.4727272727272727,
