horizon,feature,family,mean_abs_shap,mean_shap,direction
t0,TuitionUpToDate,Financial/Macro,0.5162543566073693,-0.0004500053016833,Protective
t0,Course,Course/Family,0.449404161768401,0.0394284116093921,Risk
t0,Scholarship,Financial/Macro,0.3634406567792529,0.0334586350721989,Risk
t0,Age,Demographics,0.3199870633792661,-0.0131397655694822,Protective
t0,Gender,Demographics,0.3151923673619226,0.0494826019428749,Risk
t0,financial_risk,Financial/Macro,0.3017820370436528,0.0350271488659119,Risk
t0,age_x_scholarship,Financial/Macro,0.2093952171654118,0.0132510112579832,Risk
t0,PreviousGrade,Academic Preparation,0.2040583083444488,0.0056604520641084,Risk
t0,ApplicationMode,Course/Family,0.1820584670081113,-0.0026483214533149,Protective
t0,unemp_x_age,Financial/Macro,0.1766963857147152,-0.0052731127654039,Protective
t0,AdmissionGrade,Academic Preparation,0.1720998309347901,0.0133839644202039,Risk
t0,admission_vs_prevgrade,Academic Preparation,0.1341255079042297,-0.0053950863320408,Protective
t0,age_x_financial_risk,Financial/Macro,0.1230945947977241,-0.0083265308021336,Protective
t0,MotherOcc,Course/Family,0.1035020314766316,-0.0013027736556451,Protective
t0,parent_occ_avg,Course/Family,0.0939141933186177,0.0085973824718583,Risk
t0,Displaced,Course/Family,0.0800095178781542,-0.0034715614435043,Protective
t0,MotherQual,Course/Family,0.076664730323409,0.0139431110366073,Risk
t0,vulnerability_idx,Financial/Macro,0.0746956769735878,0.0060372111757595,Risk
t0,gdp_x_tuition,Financial/Macro,0.0728408387160259,-0.0197262355036131,Protective
t0,UnempRate,Financial/Macro,0.0723826695641806,-0.0046083580801739,Protective
t0,parent_qual_avg,Course/Family,0.0687945970804526,-0.0083458298568033,Protective
t0,FatherQual,Course/Family,0.0657160631286568,-0.0036152534966869,Protective
t0,ApplicationOrder,Course/Family,0.0600343011201666,0.0014768304277032,Risk
t0,FatherOcc,Course/Family,0.0472020467641782,0.0044910405632604,Risk
t0,MaritalStatus,Demographics,0.0455403839675619,-0.0015757592657945,Protective
t0,GDP,Financial/Macro,0.0438003608275627,-0.0007205333444645,Protective
t0,Nationality,Demographics,0.0303134812243602,-0.0017442157818111,Protective
t0,Inflation,Financial/Macro,0.0244203099408053,0.0003047188229964,Risk
t0,Attendance,Other,0.024338192715996,-0.0028332477287308,Protective
t0,PrevQual,Course/Family,0.0187278272756034,0.0011887905897543,Risk
t0,gdp_x_debtor,Financial/Macro,0.0162451702890864,-0.0001365938412542,Protective
t0,inflation_x_debtor,Financial/Macro,0.0159079700350103,-0.000714954352028,Protective
t0,International,Demographics,0.0077560526028607,-0.0006362910545015,Protective
t0,Debtor,Financial/Macro,0.0020109162738936,0.0012115043513993,Risk
t0,SpecialNeeds,Demographics,0.0,0.0,Protective
t0,total_failures,Risk Composite,0.0,0.0,Protective
t0,academic_distress,Risk Composite,0.0,0.0,Protective
t1,s1_approval_rate,1st-Semester,0.9383388140094274,0.1229626784311888,Risk
t1,academic_distress,Risk Composite,0.7580444326839852,-0.0618525441923278,Protective
t1,TuitionUpToDate,Financial/Macro,0.2855291532040119,0.0511146771825551,Risk
t1,s1_pass_efficiency,1st-Semester,0.2446233316042373,0.0513498855694436,Risk
t1,Course,Course/Family,0.2090661205020334,-0.0068643943365463,Protective
t1,s1_grade,1st-Semester,0.2074331641108595,0.001017389345632,Risk
t1,Gender,Demographics,0.1659179256545181,0.0278456038800477,Risk
t1,s1_approved,1st-Semester,0.1648200180825333,0.0224410503114834,Risk
t1,financial_risk,Financial/Macro,0.1643435732155543,0.0344428871429331,Risk
t1,unemp_x_age,Financial/Macro,0.160368765550984,-0.0004724488638488,Protective
t1,total_failures,Risk Composite,0.1518118898358382,-0.0331608344644855,Protective
t1,s1_enrolled,1st-Semester,0.1509414732838125,-0.0072730944294649,Protective
t1,AdmissionGrade,Academic Preparation,0.1201282520730485,-0.0092612807762208,Protective
t1,age_x_scholarship,Financial/Macro,0.1174504231390974,0.0037443425364275,Risk
t1,Displaced,Course/Family,0.1066063916760696,-0.0007240963747132,Protective
t1,Scholarship,Financial/Macro,0.084198334619936,0.0008162025081791,Risk
t1,s1_failed,1st-Semester,0.0834091622016275,-0.0073875187071754,Protective
t1,age_x_financial_risk,Financial/Macro,0.0807719683203664,0.0173580042036916,Risk
t1,MotherOcc,Course/Family,0.0729311571182569,0.0018899204631104,Risk
t1,PreviousGrade,Academic Preparation,0.0650511161991064,-0.0032430471293641,Protective
t1,GDP,Financial/Macro,0.0615854201438285,-0.002601681952457,Protective
t1,ApplicationMode,Course/Family,0.052558572158799,0.0063515357407749,Risk
t1,admission_vs_prevgrade,Academic Preparation,0.0513493694982446,0.0042521301113743,Risk
t1,Age,Demographics,0.047618678267211,-0.0025371253741392,Protective
t1,UnempRate,Financial/Macro,0.0402083868343553,-0.0017445991540107,Protective
t1,parent_occ_avg,Course/Family,0.0352951373536415,0.0042301742182137,Risk
t1,parent_qual_avg,Course/Family,0.0321735824990294,-0.001407806485325,Protective
t1,vulnerability_idx,Financial/Macro,0.0321195953191157,0.0009516430975014,Risk
t1,s1_credited,1st-Semester,0.0297871203699618,0.0124168793427833,Risk
t1,MotherQual,Course/Family,0.0294120649391141,-0.0025880173577169,Protective
t1,s1_credit_rate,1st-Semester,0.0293274325732,0.0057030890391751,Risk
t1,s1_wo_eval,1st-Semester,0.0254027743780604,0.00364843391666,Risk
t1,gdp_x_tuition,Financial/Macro,0.0195757085891319,-0.0038307417496097,Protective
t1,s1_eval,1st-Semester,0.018241315220118,0.0029722335044886,Risk
t1,FatherOcc,Course/Family,0.0179433551426123,0.0004318839979687,Risk
t1,Attendance,Other,0.0157805483579171,0.0003694208241285,Risk
t1,ApplicationOrder,Course/Family,0.0151436543007019,-0.0036489619704568,Protective
t1,s1_eval_rate,1st-Semester,0.0135224284123176,0.0031736823029969,Risk
t1,Inflation,Financial/Macro,0.012429190555348,-0.0004918667854008,Protective
t1,FatherQual,Course/Family,0.0121069684467708,-2.317014181565744e-05,Protective
t1,Debtor,Financial/Macro,0.0065178187734769,0.0012512820881647,Risk
t1,PrevQual,Course/Family,0.006296651375817,-0.0013056572533628,Protective
t1,gdp_x_debtor,Financial/Macro,0.0056959172119293,0.0016088836210017,Risk
t1,inflation_x_debtor,Financial/Macro,0.0053634709309108,-0.0004807462622944,Protective
t1,s1_eval_gap,1st-Semester,0.0043280839023576,0.0009188580403168,Risk
t1,MaritalStatus,Demographics,0.0021629608078636,0.0006022442214698,Risk
t1,Nationality,Demographics,0.0020713876606669,0.0002300008428637,Risk
t1,eval_participation_gap,Other,0.0019037114017898,0.0005891149231005,Risk
t1,SpecialNeeds,Demographics,0.0,0.0,Protective
t1,International,Demographics,0.0,0.0,Protective
t1,low_grade_flag_s1,Other,0.0,0.0,Protective
t1,zero_grade_s1,Other,0.0,0.0,Protective
t2,cum_efficiency,2nd-Semester,0.9382885651335648,0.1126710260276419,Risk
t2,academic_distress,Risk Composite,0.7334473341473304,-0.0379686669005525,Protective
t2,total_failures,Risk Composite,0.6918625396271773,0.0055881494155213,Risk
t2,s2_approval_rate,2nd-Semester,0.3917437566406189,0.0467727359945992,Risk
t2,s2_pass_efficiency,2nd-Semester,0.2331290934741579,-0.0371841563831788,Protective
t2,TuitionUpToDate,Financial/Macro,0.2305572983468374,0.0412966840983318,Risk
t2,AdmissionGrade,Academic Preparation,0.2296028203774954,-0.014191740236119,Protective
t2,cum_failed,2nd-Semester,0.2070036416796196,-0.011650341388311,Protective
t2,s2_failed,2nd-Semester,0.2030495396171556,0.0134999469340119,Risk
t2,Course,Course/Family,0.2023765574662188,-0.0083869609483707,Protective
t2,grade_per_approved,2nd-Semester,0.1963156025035628,0.0199490739101419,Risk
t2,age_x_financial_risk,Financial/Macro,0.1961568598070766,0.018260133138507,Risk
t2,age_x_scholarship,Financial/Macro,0.1744305264751286,0.0050429213957715,Risk
t2,unemp_x_age,Financial/Macro,0.1649088183821588,-0.0021124611861671,Protective
t2,financial_risk,Financial/Macro,0.1551141211042319,0.021556355595037,Risk
t2,s2_grade,2nd-Semester,0.1420442000439889,0.026671678820824,Risk
t2,s1_approval_rate,1st-Semester,0.1357723006284114,0.0029085526562125,Risk
t2,s1_pass_efficiency,1st-Semester,0.1318377388622661,0.0225381907741379,Risk
t2,Displaced,Course/Family,0.117954045127934,0.009897190247163,Risk
t2,avg_grade,2nd-Semester,0.1005235486806057,0.0053766645233253,Risk
t2,s1_enrolled,1st-Semester,0.0906566966506541,-0.022648069657352,Protective
t2,momentum_score,2nd-Semester,0.0900507147029793,-0.0046904952630776,Protective
t2,PreviousGrade,Academic Preparation,0.0867409818026485,0.0011783238118308,Risk
t2,s2_approved,2nd-Semester,0.084977091061932,0.015106747504158,Risk
t2,admission_vs_prevgrade,Academic Preparation,0.0748854613702399,-0.0086105537312093,Protective
t2,Gender,Demographics,0.0687669748518452,0.0117274637679226,Risk
t2,Scholarship,Financial/Macro,0.0679536725395324,-0.0015785854563417,Protective
t2,parent_occ_avg,Course/Family,0.066239438368516,0.0021285557947949,Risk
t2,GDP,Financial/Macro,0.0617881847532059,0.0054321386525708,Risk
t2,s1_to_s2_grade_delta,2nd-Semester,0.06002128556306,0.0017343066161606,Risk
t2,ApplicationMode,Course/Family,0.057933622413156,0.0050037024414095,Risk
t2,UnempRate,Financial/Macro,0.0551489243339134,-0.0012193048084075,Protective
t2,MotherOcc,Course/Family,0.0521056788901738,0.0054879733485812,Risk
t2,cum_approved,2nd-Semester,0.0513195268857584,-0.0123256328357737,Protective
t2,s1_grade,1st-Semester,0.0504854329338846,0.0035754031771108,Risk
t2,ApplicationOrder,Course/Family,0.0477865313647962,-0.0048406428787335,Protective
t2,vulnerability_idx,Financial/Macro,0.0471219825490952,0.0074451197258236,Risk
t2,parent_qual_avg,Course/Family,0.0435797878007571,0.0022030352754529,Risk
t2,FatherOcc,Course/Family,0.0435116427172414,-0.0029735423645606,Protective
t2,s1_approved,1st-Semester,0.0434467851223963,-0.0075584299896565,Protective
t2,FatherQual,Course/Family,0.0382634023479372,-0.0016964293532754,Protective
t2,Age,Demographics,0.0370696248520913,-0.0061908624291556,Protective
t2,s1_eval_rate,1st-Semester,0.0334725004284513,0.0087717494448178,Risk
t2,gdp_x_tuition,Financial/Macro,0.0288473660253934,-0.0035087535111452,Protective
t2,s1_failed,1st-Semester,0.027874838941307,-0.0151543565004715,Protective
t2,s2_enrolled,2nd-Semester,0.0244053929459454,0.005377524124055,Risk
t2,s2_eval_rate,2nd-Semester,0.0242242672059884,0.0059223953092609,Risk
t2,s1_credit_rate,1st-Semester,0.0237855827726711,0.0050339478375315,Risk
t2,Inflation,Financial/Macro,0.0226712303878986,5.05853425104149e-05,Risk
t2,s1_eval,1st-Semester,0.0194022268543674,0.0074034147736035,Risk
t2,s1_to_s2_approved_delta,2nd-Semester,0.0193356968019941,0.0001422370738005,Risk
t2,PrevQual,Course/Family,0.0190570205676199,-0.0037014943893568,Protective
t2,MotherQual,Course/Family,0.01817579663535,-0.0034882522398364,Protective
t2,s2_eval,2nd-Semester,0.0176336436922403,0.0012864571776468,Risk
t2,eval_participation_gap,Other,0.0162973587830926,0.0044579136154215,Risk
t2,s2_credit_rate,2nd-Semester,0.0127814734828345,-0.0009975240646152,Protective
t2,s2_eval_gap,2nd-Semester,0.0117970322513601,-0.0006647578897757,Protective
t2,s1_wo_eval,1st-Semester,0.0104806135637702,0.0046527016283073,Risk
t2,s1_eval_gap,1st-Semester,0.0102711153244078,0.0035049131996593,Risk
t2,gdp_x_debtor,Financial/Macro,0.0097685959582394,0.0012960486542782,Risk
t2,inflation_x_debtor,Financial/Macro,0.0088859030805978,0.0009475590390305,Risk
t2,s1_credited,1st-Semester,0.0088063875109519,0.0010730227812844,Risk
t2,Debtor,Financial/Macro,0.0082148051087815,0.0020123269526015,Risk
t2,s2_wo_eval,2nd-Semester,0.0069300067420796,0.0021221749263309,Risk
t2,MaritalStatus,Demographics,0.0050660430907393,-0.0001286418221786,Protective
t2,s2_credited,2nd-Semester,0.0050416636370848,0.0005766613639954,Risk
t2,Nationality,Demographics,0.0032841866533404,0.0008361429014503,Risk
t2,International,Demographics,0.0015045568835949,0.0001412711846183,Risk
t2,zero_grade_s1,Other,0.0005647698892368,5.793931314112602e-06,Risk
t2,Attendance,Other,0.0005292836850116,-0.0001781056664514,Protective
t2,zero_grade_s2,2nd-Semester,0.000305797062285,-1.893894266230708e-05,Protective
t2,SpecialNeeds,Demographics,0.0,0.0,Protective
t2,low_grade_flag_s1,Other,0.0,0.0,Protective
t2,low_grade_flag_s2,2nd-Semester,0.0,0.0,Protective
